"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"EAF392054FFE4AE48F93E767F41DA55C","D10","CPER","CPER_006","W","grasslandHerbaceous",40.814765,-104.748318,"WGS84",5.1,1649.9,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_006.2014.01","CPER_006.W.20140605",14,"ok","ok","ok","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"69F0E1D2F5E344D19B0672E32EDD582F","D10","CPER","CPER_006","N","grasslandHerbaceous",40.814944,-104.748080,"WGS84",5.1,1649.9,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_006.2014.01","CPER_006.N.20140605",14,"ok","ok","low","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"7A7CB39E14F64D958DA3D669E2576D0A","D10","CPER","CPER_006","E","grasslandHerbaceous",40.814764,-104.747844,"WGS84",5.1,1649.9,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_006.2014.01","CPER_006.E.20140605",14,"ok","ok","high","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"90A1439735E6403EB980C5BD1A55AC5C","D10","CPER","CPER_006","S","grasslandHerbaceous",40.814584,-104.748082,"WGS84",5.1,1649.9,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_006.2014.01","CPER_006.S.20140605",14,"ok","ok","ok","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"BB98070D651C4B4EAC24878D3D12BDD1","D10","CPER","CPER_005","S","grasslandHerbaceous",40.852915,-104.728005,"WGS84",5.1,1664.4,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_005.2014.01","CPER_005.S.20140605",14,"ok","ok","low","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"5AEF4A846CFA4AE69B71977E3953A16C","D10","CPER","CPER_005","N","grasslandHerbaceous",40.853275,-104.728003,"WGS84",5.1,1664.4,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_005.2014.01","CPER_005.N.20140605",14,"ok","ok","low","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"F7808B9AC2044B7BABAAC312CE59D9CE","D10","CPER","CPER_005","E","grasslandHerbaceous",40.853094,-104.727767,"WGS84",5.1,1664.4,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_005.2014.01","CPER_005.E.20140605",14,"ok","ok","ok","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"3503B3B856034491A68038BFAD7BE096","D10","CPER","CPER_005","W","grasslandHerbaceous",40.853095,-104.728241,"WGS84",5.1,1664.4,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_005.2014.01","CPER_005.W.20140605",14,"ok","ok","low","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"AC196CD5F099430C8AD3CFDC89821C0D","D10","CPER","CPER_010","S","grasslandHerbaceous",40.849832,-104.681394,"WGS84",5.1,1646.2,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_010.2014.01","CPER_010.S.20140605",14,"ok","ok","low","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"474B549B48B6425F96A23BD8A2FF13FF","D10","CPER","CPER_010","E","grasslandHerbaceous",40.850011,-104.681156,"WGS84",5.1,1646.2,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_010.2014.01","CPER_010.E.20140605",14,"ok","ok","low","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"C58BF13A3A2F48B9864C5A8FF2BF3F1A","D10","CPER","CPER_010","W","grasslandHerbaceous",40.850012,-104.681630,"WGS84",5.1,1646.2,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_010.2014.01","CPER_010.W.20140605",14,"ok","ok","high","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"2C4BD9D27521412494669FB9D373AA4C","D10","CPER","CPER_010","N","grasslandHerbaceous",40.850192,-104.681392,"WGS84",5.1,1646.2,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_010.2014.01","CPER_010.N.20140605",14,"ok","ok","high","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"4963952B4D86439C959BCA7C1A05454E","D10","CPER","CPER_009","S","grasslandHerbaceous",40.825939,-104.745904,"WGS84",5.1,1656.6,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_009.2014.01","CPER_009.S.20140605",14,"ok","ok","low","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"3C8876932E224D8DBBA50025D04F3CCF","D10","CPER","CPER_009","E","grasslandHerbaceous",40.826119,-104.745666,"WGS84",5.1,1656.6,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_009.2014.01","CPER_009.E.20140605",14,"ok","ok","high","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
"984A4A01821E46B9B0BE1C9A7E15C123","D10","CPER","CPER_009","N","grasslandHerbaceous",40.826299,-104.745903,"WGS84",5.1,1656.6,0.1,"2014-05-22","2014-06-05",1,"BET.CPER_009.2014.01","CPER_009.N.20140605",14,"ok","ok","low","Y","NEON.DOC.014050","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0,0,0
